user_id,SummaryScore_Blocks,RT_Blocks,timepoint_by_site,SummaryScore_VerbalAnalogies,RT_VerbalAnalogies,SummaryScore_WordDefinitions
ca8eba947d4c4c419321f26b85d89fc9,11.0,4577.0,tp1,15,6439.36,17.0
13ba938814984873b73a70ef48e481c0,8.0,5554.0,tp1,8,5438.1786,17.0
a7252125-ecf8-4985-adb9-bf93e89142ec,14.0,4410.0,tp1,22,5166.8,11.0
1d5ed00c406a443f974cbf511695c9d5,10.0,3522.0,tp1,34,3429.119,13.0
a968d94b5d6344c6968c6ee840c5b944,11.0,4491.0,tp1,27,4087.027,20.0
a2013513-92a6-4485-b717-b701523dc8cd,9.0,4811.0,tp1,10,2978.875,14.0
efa95315bf1d42a5adf08630a1682d6e,11.0,3778.0,tp1,27,4922.0,16.0
5dde635ddea548ccbeb333729394fb18,11.0,4674.0,tp1,10,5111.4,17.0
c6cda62a98484c668d599a74250b436e,11.0,5276.0,tp1,32,4443.2941,15.0
1f830830-c007-476c-a778-ac9c3c4cec33,15.0,2356.0,tp1,8,3355.2273,12.0
009e62b7067743cf9b44afc83d30483b,10.0,9225.0,tp1,28,4141.8056,20.0
a304fd36dc3b446d9bc2f5f649eac99e,11.0,6550.0,tp1,27,4329.9143,19.0
ad128ef479014dcf81cf17ef459b6cd3,13.0,5185.0,tp1,17,6256.24,17.0
b46e6bc834b641e1922d123af2776c0e,10.0,2419.0,tp1,26,3524.6429,17.0
9fd6fb518f79430bae5e94252f48cdbd,6.0,5583.0,tp1,19,4684.8182,17.0
63f3c8361cf548b7ad9da2ee12c35957,10.0,6996.0,tp1,7,3397.093,16.0
133d52ca-063f-41a4-b3b8-5d33996153b1,12.0,5252.0,tp1,1,7310.2381,21.0
af38225c488b4dc8ab324d7ac74c8f52,9.0,3862.0,tp1,37,3611.8537,19.0
dd63c7356ea94b47865c89392429affc,7.0,3488.0,tp1,25,4100.2703,17.0
7d1d3d31cb1e41eca3798ca5b45469ff,12.0,1890.0,tp1,29,2926.2245,16.0
72112ded673946dd91dca72e90df0f2d,8.0,6097.0,tp1,7,5271.0,15.0
889fe753b3d04727a629c0d776ef3467,8.0,3573.0,tp1,22,3902.1053,18.0
9674c8c35b7c48bda2b12e2f3e5c18bd,10.0,2615.0,tp1,8,4251.1389,17.0
3a24ed22-6ea8-46f3-bac2-66e466cd62df,11.0,4323.0,tp1,40,3307.7955,16.0
2d637b0e-df98-4f4f-b181-a21a050ab8ba,10.0,3476.0,tp1,36,3933.8158,20.0
7a14026428f44b7fbcd7c34362bfb58e,11.0,6932.0,tp1,28,3415.5714,16.0
24b137069c6e4a58a8a7136dd02623a6,12.0,3436.0,tp1,35,3606.4146,21.0
5a6dca218d6843b287c19ae100a14142,6.0,4748.0,tp1,4,8137.65,17.0
71c52c59b410403e88defe827a81ee05,11.0,3967.0,tp1,23,3629.7073,15.0
012c84190eb0487b98d91fe01a0d2c8a,15.0,3540.0,tp1,29,4301.9714,13.0
e2c933743de942ea82210d1e760bb7f7,9.0,1835.0,tp1,7,4074.3514,15.0
0184a9b23ea045589bb0d72aefc5521f,15.0,1544.0,tp1,36,2842.8,20.0
70da4245-dae1-4a5a-95b7-8774016ddb6b,15.0,2554.0,tp1,41,2711.8824,18.0
a7dca2eb22fc48f6b9016170174ce4d8,11.0,1603.0,tp1,35,2050.7143,16.0
e672841e42794e71b6f5690c26616a0e,12.0,6008.0,tp1,29,3748.2821,20.0
d6b3128ffbda49a6850eab0cf58c9b60,12.0,3168.0,tp1,33,3089.0851,16.0
a0fcc0c4e12444548cc9e2cdc4f0c3f3,8.0,6346.0,tp1,17,6771.6087,14.0
10516364-1e06-438f-93bd-c775070d13f4,8.0,3580.0,tp1,35,3000.8511,20.0
aeb5e15f6fbf47e18f5c15bf3e801232,10.0,4662.0,tp1,20,4476.2059,12.0
fc1b9cf8bb9248fe89e15320cd05da7d,6.0,3118.0,tp1,41,2609.8868,20.0
0f3bb232e8c6468986991e2480d00454,14.0,5249.0,tp1,29,4124.0,17.0
3dacd5bac5dc484ba9716da43033b608,12.0,4908.0,tp1,20,5554.25,16.0
34e2d4a7-df11-44de-9c08-6d2408990a2c,6.0,4112.0,tp1,20,4173.7778,15.0
1f211da6e4bb497fa9293125dd3a6660,11.0,3747.0,tp1,34,3822.5789,17.0
bb19b9c3-0e44-4acd-a9b4-dfe311f6fe50,13.0,2726.0,tp1,51,2515.6,21.0
f49ae885bdab407884854a743436d437,12.0,2695.0,tp1,34,3884.0789,19.0
bfb4529b57dd41269e363ee360100348,5.0,3466.0,tp1,5,5320.8276,8.0
1f48f75f3c154ddba4102aa4758ac5bb,9.0,4535.0,tp1,22,3715.05,19.0
09503a8872d143edb23eff4129b0cc52,13.0,6064.0,tp1,21,4090.5135,17.0
1ea9161af2e046b88f11575d3d54af90,9.0,2800.0,tp1,7,4390.8857,15.0
bc665dcf4361429a840a4a02a1380e93,5.0,4710.0,tp1,18,5610.3214,12.0
34d267c89ccd4d6baef6fd4603614996,13.0,5126.0,tp1,33,3613.0,13.0
e6178f3709b94d5c9c6fba053eb7240d,9.0,4694.0,tp1,19,3391.6047,15.0
871ea1db-b7d0-4a52-866c-084372391352,15.0,1758.0,tp1,44,2222.5167,19.0
cb971a7ad33f4a66971a82adac3c3908,10.0,4472.0,tp1,22,5251.1333,17.0
69868d6b476446209d61c51abc92c02b,12.0,2248.0,tp1,29,4356.5714,16.0
3c50f948c679409f8b1cbbc39f1ddca6,12.0,3607.0,tp1,17,6530.6957,18.0
5b4fb43bc3104922aea574477f74d421,14.0,2109.0,tp1,23,3382.5581,16.0
